guid,failure_probability
0a076a0d-54fa-4f82-a8af-ce3bd227fcfa,0.1458
cee37f5e-6e62-40e6-be5a-485d5c78bd25,0.10265
77f5d8b6-ad73-4959-b357-0c512d8f2bcd,0.22995
07267d06-089e-4db7-a479-1794cdc23be3,0.1625
ec3d4c41-ae4a-4489-9984-1d96e7f4ae06,0.3855
a5671542-56da-4fd5-8679-aa702854b800,0.08815
56939700-4f21-41b4-ad25-970b7ac2d35d,0.2601
7e5db29f-6903-42bc-a6a4-e4a646e5d1e9,0.1248
22198719-df87-45f5-9774-e8500f045db0,0.13705
ae230b07-64da-4831-b7c2-bfe07118db93,0.27
15df3eb5-cfc9-45a8-9a73-2dbc60a35710,0.18025
25681073-ed68-4c79-a61d-9d1f546dca7d,0.291
dc9b9e7c-b433-47a0-aedd-0af0b828e451,0.1435
98713c88-4612-4447-bbc6-9d5b60fa56b0,0.08575
85698db1-af71-4562-9bed-8fca27a6c830,0.2207
69979141-80fc-433e-829b-d3cb09c72a3c,0.2535
e0d4f5bd-5888-427a-acf9-6b688ac1f2d7,0.19465
10181b8c-67a4-425f-ad0f-4b44acb60207,0.23135
a32f4e5b-29d7-4e19-a541-37602d7ad1ec,0.1914
208a79ca-820c-4418-9e68-6a8d837a839a,0.15615
af76a70f-070a-4aca-b06b-b71c1ae04c9c,0.108
37359593-f3d5-40ca-b3cf-5e8f2523eadb,0.13775
34e57e61-c2e5-4e48-926f-fb6a7c4d6468,0.15335
fc5c985a-1fb4-4fb3-a53b-5502367e2cd2,0.39705
474191f3-1166-4f32-9bf8-8dbfc29d8284,0.10165
40263a85-8ec5-4ec8-a6c0-0dec9aa903f5,0.13295
bc41e53b-07d1-4789-a830-7482cc2c91f5,0.1769
ee8800e9-d4f5-44bb-910e-5ce7f176dd5c,0.18935
4d07256a-863d-47e6-ad06-d8e07135113e,0.15785
31f8533b-f190-41de-b82f-373d3482a5ba,0.12195
2f58c2b4-5a64-4aac-b299-b4146acdbf28,0.1141
a9d8886a-4f4a-4f80-96c6-ddc0dff10b58,0.1767
27435ab1-0ae1-4ed1-9991-d85e0c3e4767,0.09445
3b42aca7-c032-4eea-992e-018fcea00880,0.2281
d4cb6c09-4d92-43ba-be78-46bbef7a7213,0.3313
ac50ed3d-0ffb-4036-9da2-7fd1e43ab589,0.04715
16c4595e-4a55-46f1-bd8f-ed2f95778ac4,0.2131
90fda3cb-138f-4d6a-a33c-c645ed50dd26,0.27845
72a87ce2-1763-40ca-a9fe-1ed1b1c7de65,0.2606
37d682c0-9cfd-426d-86e5-fc512af61ca8,0.1302
f30f625e-7d93-4358-b0f1-e995612db949,0.2365
2a43760e-df35-42fc-9a93-c1b679d82518,0.20565
c28298e6-c744-4040-8761-c0bf7124e3a3,0.28705
2753c728-dbd1-4914-aa62-f524d4bceb03,0.1328
66936ca0-4097-4207-b96e-8e3cf00d4d63,0.2559
7a2a685c-ce90-4c73-b731-7ca7a06ca18a,0.14655
30aa77a6-a513-4cc4-b932-5c2b9b3b246d,0.31635
db34da6e-af39-4bd7-b91f-04d3cda4b6c7,0.1793
b2eabafe-c6a3-488f-b460-871ce5c15788,0.3669
29b35803-5135-4d8c-8a42-f34731b580a8,0.346
51a5e608-cca0-4400-8c31-7e59ae3e1e5f,0.2887
a6890f00-6914-41c2-ba15-6c94b338fe23,0.18295
e436f9eb-46f4-4b88-9ce8-091d5cc8e29b,0.0914
e34fcce1-6180-49e2-804d-0eb408988317,0.17665
2d94b0d8-42f9-4677-8d5a-5cfeb992d5d1,0.37795
117b7a28-30f5-4028-9f8e-bb86b01a8f38,0.3674
cc7d8eef-c9f1-418f-8a9c-f251bef6ba8e,0.494
368890b9-2fbc-4a11-a101-f4b4b8a2d4fe,0.4107
e791ab59-64fe-4fc6-8756-fbcc6a9bbde5,0.42435
bc29ed5e-2c11-4617-a498-3806262d5895,0.21265
206126c2-657b-4269-87a4-fe767c8d4cc1,0.1073
f7a928f1-b3e9-40b1-bdae-ed815bae848e,0.1125
8d7dee94-3950-47bf-80ce-5464ee88b862,0.2178
a99ebbea-37bf-4a87-bb90-2e5c1a6392db,0.42155
630a4561-56d7-444d-85c8-880c7bf4bd5d,0.1863
38ca1e89-7d69-482d-a03d-33c53281864f,0.3747
82354f9a-a5a0-44b6-8c67-c2ab8fa5a87e,0.31615
78deeaae-3f69-4114-bea0-7425d38ede28,0.23935
7029c42a-1dee-4bd9-ab07-1d055a5d5061,0.28355
0a67e373-68a8-42a8-97a7-386bc7bdc8af,0.27925
a81f6fb7-b191-41da-9209-76e04d53ccac,0.0806
