"guid","LS_0","LS_1","LS_2","LS_3","DS_0","DS_1","DS_2","DS_3","DS_4","haz_expose"
"fa8f588c-1180-4033-ba6d-28660dcb7112","0.5932201709","0.3519318899","0.1993499425","0.164452712","0.4067798291","0.2412882810","0.1525819474","0.0348972305","0.164452712","yes"
"7a78c727-bc47-4010-bed6-7775660dc6f6","0.5896782676","0.3483079698","0.1965406139","0.1620514931","0.4103217324","0.2413702978","0.1517673559","0.0344891208","0.1620514931","yes"
"cced02f4-a461-44e5-9a31-3a6f9ee26738","0.6492511781","0.4114183461","0.2463578232","0.2044386176","0.3507488219","0.2378328320","0.1650605229","0.0419192056","0.2044386176","yes"
"49c79885-9252-4618-9d91-6d0c1195e93e","0.6909628319","0.4585836304","0.2849197568","0.2369858886","0.3090371681","0.2323792015","0.1736638736","0.0479338682","0.2369858886","yes"
"a699e027-f484-4d2b-960d-c1c2aa500724","0.7137943776","0.4855766239","0.307562203","0.2560032256","0.2862056224","0.2282177537","0.1780144209","0.0515589774","0.2560032256","yes"
"cc25194d-fac5-42bb-af5e-d454b8a77ce8","0.9133321376","0.7950409525","0.6546280588","0.5893917315","0.0866678624","0.1182911851","0.1404128937","0.0652363273","0.5893917315","yes"
"f950b1cd-6be4-44c4-990f-d4356da5553c","0.749730616","0.5299670878","0.345815306","0.2880026568","0.250269384","0.2197635282","0.1841517818","0.0578126492","0.2880026568","yes"
"e110e346-d795-43ed-9e0b-4f7356e6c93c","0.9368819391","0.7030307152","0.4220707109","0.3231771682","0.0631180609","0.2338512239","0.2809600043","0.0988935427","0.3231771682","yes"
"a86f719d-eeb2-4f6d-8337-3cb28cb0fd26","0.9822789143","0.9027828867","0.7887774304","0.7407811161","0.0177210857","0.0794960276","0.1140054563","0.0479963143","0.7407811161","yes"
"a68bd8f3-90ad-495f-9ad4-025d33a439d2","0.8431508027","0.4920969652","0.2251598956","0.1659964807","0.1568491973","0.3510538375","0.2669370696","0.0591634149","0.1659964807","yes"
"4a1ceec5-2c8f-44b1-8503-4c4a8963f560","0.9417944397","0.7174781717","0.4380033933","0.3359516194","0.0582055603","0.2243162680","0.2794747784","0.1020517739","0.3359516194","yes"
"5790e590-c4b6-4edb-a2ea-85a7536b2695","0.9220422996","0.6622983686","0.379221915","0.2889380909","0.0779577004","0.2597439310","0.2830764536","0.0902838241","0.2889380909","yes"
"158f57e0-fb99-4560-9f59-a0fa33052db3","0.9896312827","0.9220681463","0.7846352475","0.7021881978","0.0103687173","0.0675631364","0.1374328988","0.0824470497","0.7021881978","yes"
"57fad280-fa2e-45fc-aeba-24b6052b45e1","0.9920154952","0.9375847834","0.8220482308","0.7496746844","0.0079845048","0.0544307118","0.1155365526","0.0723735464","0.7496746844","yes"
"32412260-0f20-4299-8635-452702a9f816","0.9891710979","0.9257476212","0.8090520214","0.7458199579","0.0108289021","0.0634234767","0.1166955998","0.0632320635","0.7458199579","yes"
"a007a9b0-c2ec-4bdc-beec-8c92e3b515dd","","","","","","","","","",""
"5a968e23-b0d3-4677-abd1-5767f3cad8ee","","","","","","","","","",""
"22206135-813f-4455-9f42-7cff7b21688c","","","","","","","","","",""
"e1bce78d-00a1-4605-95f3-3776ff907f73","","","","","","","","","",""
"ddadb420-6057-49f6-8d29-3467906a1452","","","","","","","","","",""
"509938d8-8dd1-4dde-8b60-3dc61043cf86","","","","","","","","","",""
"b3466a37-6286-4d07-b262-22d4428ccfb7","","","","","","","","","",""
"87e3d772-2826-49fd-ad8a-4db8ed9180ea","","","","","","","","","",""
"704f279b-3e99-4a8a-8c5c-64a2afc2cd73","","","","","","","","","",""
"9fd28492-e2bc-42d1-b7f3-5f47a475476d","","","","","","","","","",""
"a6ec3452-e2ad-422f-bc20-7304522fc001","","","","","","","","","",""
"cc2b2a0b-c6a1-4599-af1d-4816693d5327","","","","","","","","","",""
"da69af6f-a0f3-4ef6-af09-fef2282def95","","","","","","","","","",""
"81cfc0f9-89ad-48b7-ab02-781145458d22","","","","","","","","","",""
"f663522a-94e1-4c4d-ab60-f707398e6ec6","","","","","","","","","",""
"45f9a12b-556e-4b39-840e-4c1457788578","","","","","","","","","",""
"6cc6d1cb-7b10-420b-8e8d-35023d66e23e","","","","","","","","","",""
"bdce49b4-001d-418f-ba07-c855583ffec2","","","","","","","","","",""
"697dc510-5a8d-4ce5-aa03-d7c1b6247218","","","","","","","","","",""
"f76b16bf-ebaf-49fd-8205-8aa96c88c90d","","","","","","","","","",""
"f2c7b048-3d47-4d75-b5c4-e69e23125436","","","","","","","","","",""
"e36f8eb7-2ab9-40a7-bc60-f22e3c8c6d50","","","","","","","","","",""
"160bc01c-834d-4e26-bc1f-a60fa58b1bcf","","","","","","","","","",""
"b63eeee0-60de-4175-bffb-d9405b092342","","","","","","","","","",""
"110a378b-cd53-4429-83b2-9221d79340ad","","","","","","","","","",""
"da9246d9-1d9d-48bb-9adb-5222ea1a8d66","","","","","","","","","",""
"5a52dc74-4a8e-4181-83b7-3e8d9d7fb10a","","","","","","","","","",""
"0d5dc267-1f9f-4da0-abda-3785779e7bb2","","","","","","","","","",""
"938d7e98-656c-4e54-aded-860bcb3398d9","","","","","","","","","",""
"ffc82be0-9efe-4153-be58-92a020c03b2d","","","","","","","","","",""
"6e7917b0-4ec4-45b0-ac13-c59f4c277e21","","","","","","","","","",""
"60820263-9de6-474d-a2c6-cb33ad5d2efa","","","","","","","","","",""
"d28be28f-84b3-4ae9-985b-61423585fd5c","","","","","","","","","",""
"d4599f71-07bd-4989-befb-aaa9c02bdffb","","","","","","","","","",""
