parid,struct_typ,year_built,no_stories,a_stories,b_stories,bsmt_type,occ_type,appr_bldg,cont_val,gsq_foot,efacility,dwell_unit,sq_foot,str_typ2,occ_detail,major_occ,broad_occ,appr_tot,repl_cst,str_cst,nstra_cst,nstrd_cst,dgn_lvl,archetype,appr_land,ffe_elev,g_elev,lhsm_elev,lon,lat
076036  00018_1,PC2,1959,1,,,,GOV2,61000,91500,,EFFS,,1516,PC2L,FIRE-STATION,,,74600,,,,,,11,13600,,,,-90.05926,35.03094
C0244   00197_1,URM,1908,1,,,,GOV2,57600,86400,,EFFS,,4580,URML,FIRE-STATION,,,76150,,,,,,11,18550,,,,-89.66386,35.04337
C0232   00230_1,PC2,1953,1,,,,GOV2,158200,237300,,EFFS,,2696,PC2L,FIRE-STATION,,,158200,,,,,,11,0,,,,-89.73102,35.07182
,S1,1972,2,,,,GOV2,,,,EFFS,,0,S1L,FIRE-STATION,,,,,,,,,11,,,,,-89.94952,35.20424
,URM,1974,1,,,,GOV2,,,,EFFS,,0,URML,FIRE-STATION,,,,,,,,,11,,,,,-89.92171,35.03704
,URM,1940,2,,,,GOV2,,,,EFPS,,45000,URML,POLICE-STATION,,,,,,,,,11,,,,,-89.960527,35.074203
,URM,1971,1,,,,GOV2,,,,EFFS,,0,URML,FIRE-STATION,,,,,,,,,11,,,,,-89.960527,35.074203
,URM,1965,1,,,,GOV2,,,,EFFS,,0,URML,FIRE-STATION,,,,,,,,,11,,,,,-89.960527,35.074203
,S3,1982,2,,,,GOV2,,,,EFFS,,9750,S3,FIRE-STATION,,,,,,,,,11,,,,,-89.960527,35.074203
,URM,1958,1,,,,GOV2,,,,EFFS,,0,URML,FIRE-STATION,,,,,,,,,11,,,,,-90.02863,35.21673
,URM,1961,1,,,,GOV2,,,,EFFS,,0,URML,FIRE-STATION,,,,,,,,,11,,,,,-89.89582,35.1154
002108  00001C_3A,URM,1903,1,,,,GOV2,169165,253748,,EFPS,,4532,URML,POLICE-STATION,,,205361,,,,,,11,36196,,,,-90.05997,35.13052
023009  00021C_1,RM,1970,1,,,,GOV2,121950,182925,,EFPS,,8104,RM1L,POLICE-STATION,,,150350,,,,,,11,28400,,,,-90.03913,35.14413
,S1,1981,12,,,,GOV2,,,,EFPS,,132000,S1H,POLICE-STATION,,,,,,,,,11,,,,,-90.04832,35.14946
,URM,1929,2,,,,GOV2,,,,EFFS,,0,URML,FIRE-STATION,,,,,,,,,11,,,,,-89.948,35.14922
,URM,1941,2,,,,GOV2,,,,EFFS,,0,URML,FIRE-STATION,,,,,,,,,11,,,,,-90.00086,35.13528
